time,Q1,Q2,T1,T2,Tp
290.5,0,0,293.148,293.079,293.19
291,0,0,293.156,293.074,293.19
291.5,0,0,293.132,293.08,293.151
292,0,0,293.114,293.085,293.119
292.5,0,0,293.158,293.135,293.138
293,0,0,293.192,293.174,293.153
293.5,0,0,293.159,293.16,293.17
294,0,0,293.134,293.149,293.184
294.5,0,0,293.098,293.12,293.154
295,0,0,293.071,293.097,293.131
295.5,0,0,293.063,293.12,293.136
296,0,0,293.057,293.14,293.14
296.5,0,0,293.051,293.12,293.173
297,0,0,293.046,293.105,293.197
297.5,0,0,293.077,293.096,293.141
298,0,0,293.102,293.087,293.097
298.5,0,0,293.08,293.101,293.088
299,0,0,293.064,293.112,293.081
299.5,0,0,293.065,293.126,293.081
300,0,0,293.066,293.137,293.081
300.5,0,0,293.097,293.114,293.076
301,0,0,293.12,293.097,293.073
301.5,0,0,293.115,293.09,293.114
302,0,0,293.112,293.083,293.147
302.5,0,0,293.125,293.113,293.156
303,0,0,293.136,293.135,293.162
303.5,0,0,293.121,293.109,293.156
304,0,0,293.11,293.09,293.151
304.5,0,0,293.075,293.083,293.13
305,0,0,293.048,293.077,293.114
305.5,0,0,293.038,293.042,293.149
306,0,0,293.031,293.015,293.177
306.5,0,0,293.041,293.026,293.121
307,0,0,293.048,293.035,293.077
307.5,0,0,293.075,293.066,293.099
308,0,0,293.096,293.091,293.118
308.5,0,0,293.096,293.075,293.098
309,0,0,293.096,293.063,293.083
309.5,0,0,293.057,293.053,293.107
310,0,0,293.025,293.046,293.125
310.5,0,0,293.058,293.075,293.158
311,0,0,293.083,293.099,293.182
311.5,0,0,293.098,293.091,293.157
312,0,0,293.109,293.085,293.137
312.5,0,0,293.064,293.073,293.116
313,0,0,293.029,293.063,293.101
313.5,0,0,293.066,293.074,293.076
314,0,0,293.096,293.082,293.057
314.5,0,0,293.13,293.046,293.091
315,0,0,293.158,293.018,293.118
315.5,0,0,293.147,293.024,293.083
316,0,0,293.138,293.027,293.057
316.5,0,0,293.099,293.069,293.118
317,0,0,293.069,293.099,293.165
317.5,0,0,293.064,293.105,293.162
318,0,0,293.06,293.109,293.159
318.5,0,0,293.043,293.147,293.102
319,0,0,293.03,293.176,293.058
319.5,0,0,293.051,293.154,293.07
320,0,0,293.068,293.136,293.079
320.5,0,0,293.065,293.14,293.069
321,0,0,293.064,293.142,293.062
321.5,0,0,293.07,293.13,293.024
322,0,0,293.074,293.12,292.994
322.5,0,0,293.118,293.131,292.981
323,0,0,293.152,293.141,292.971
323.5,0,0,293.134,293.134,293.003
324,0,0,293.12,293.129,293.029
324.5,0,0,293.118,293.103,293.038
325,0,0,293.115,293.083,293.047
325.5,0,0,293.087,293.054,293.11
326,0,0,293.065,293.032,293.16
326.5,0,0,293.059,293.058,293.146
327,0,0,293.054,293.079,293.134
327.5,0,0,293.062,293.093,293.114
328,0,0,293.066,293.103,293.098
328.5,0,0,293.075,293.093,293.12
329,0,0,293.081,293.086,293.138
329.5,0,0,293.059,293.096,293.135
330,0,0,293.043,293.104,293.131
330.5,0,0,293.062,293.097,293.109
331,0,0,293.077,293.091,293.092
331.5,0,0,293.073,293.13,293.099
332,0,0,293.068,293.16,293.105
332.5,0,0,293.037,293.118,293.097
333,0,0,293.014,293.083,293.091
333.5,0,0,293.046,293.059,293.041
334,0,0,293.071,293.04,293.003
334.5,0,0,293.065,293.062,293.003
335,0,0,293.06,293.079,293.003
335.5,0,0,293.086,293.105,293.018
336,0,0,293.104,293.127,293.029
336.5,0,0,293.094,293.152,293.059
337,0,0,293.086,293.171,293.083
337.5,0,0,293.051,293.099,293.131
338,0,0,293.024,293.044,293.168
338.5,0,0,293.013,293.019,293.148
339,0,0,293.003,292.999,293.132
339.5,0,0,293.032,293.02,293.147
340,0,0,293.055,293.037,293.158
340.5,0,0,293.097,293.071,293.146
341,0,0,293.129,293.098,293.137
341.5,0,0,293.107,293.082,293.152
342,0,0,293.09,293.071,293.164
342.5,0,0,293.101,293.096,293.202
343,0,0,293.109,293.114,293.232
343.5,0,0,293.127,293.107,293.202
